time,chicago_hub_lmp_dam,coal_gen_rt,gas_gen_rt,oil_gen_rt,system_demand_7da
1/1/22 0:00,21.6,14600,25700,230,
1/1/22 1:00,19,14200,24300,227,
1/1/22 2:00,18.6,14000,24100,227,
1/1/22 3:00,18.7,14000,23100,227,
1/1/22 4:00,17.8,14000,22500,226,
1/1/22 5:00,17.8,14300,21400,226,
1/1/22 6:00,17.8,14500,21800,225,
1/1/22 7:00,18.3,14800,22300,224,
1/1/22 8:00,20.5,15400,23500,237,
1/1/22 9:00,22.6,15600,23600,228,
1/1/22 10:00,26.6,16000,26500,230,
1/1/22 11:00,26.7,16500,28300,233,
1/1/22 12:00,26.4,17100,29100,230,
1/1/22 13:00,26,17500,28400,226,
1/1/22 14:00,25.4,17500,27800,226,
1/1/22 15:00,24.1,17500,27900,224,
1/1/22 16:00,26,17600,28600,224,
1/1/22 17:00,29.2,17800,30300,222,
1/1/22 18:00,28.3,17800,31100,220,
1/1/22 19:00,26.4,17400,29700,222,
1/1/22 20:00,26.2,17400,29400,222,
1/1/22 21:00,26.2,17300,29400,220,
1/1/22 22:00,23.6,16800,27200,223,
1/1/22 23:00,20.8,16500,24800,222,
1/2/22 0:00,22.4,16300,23500,223,
1/2/22 1:00,21.8,16500,22900,223,
1/2/22 2:00,21.6,16500,22800,227,
1/2/22 3:00,21.7,16400,22500,224,
1/2/22 4:00,21.4,16200,24000,225,
1/2/22 5:00,21.7,16400,23600,224,
1/2/22 6:00,22.5,16600,25200,227,
1/2/22 7:00,23.1,17000,25700,226,
1/2/22 8:00,25.3,17800,28100,226,
1/2/22 9:00,28.6,18100,28600,223,
1/2/22 10:00,28.8,18200,29800,227,
1/2/22 11:00,29.1,18700,32400,224,
1/2/22 12:00,28.4,19400,33300,225,
1/2/22 13:00,28.4,20400,33800,224,
1/2/22 14:00,28.2,20000,34500,225,
1/2/22 15:00,28.3,19800,35000,224,
1/2/22 16:00,32.1,19300,36300,227,
1/2/22 17:00,41.2,20600,39000,226,
1/2/22 18:00,40.6,21200,39700,227,
1/2/22 19:00,40.4,21300,39700,226,
1/2/22 20:00,40.9,21200,39200,228,
1/2/22 21:00,40.3,20200,38100,228,
1/2/22 22:00,38.5,19400,37100,240,
1/2/22 23:00,30.7,18100,35100,236,
1/3/22 0:00,30,17600,34300,285,
1/3/22 1:00,29.6,17400,33800,444,
1/3/22 2:00,29.3,17500,32700,514,
1/3/22 3:00,29.5,17600,32400,659,
1/3/22 4:00,30.7,17800,33700,858,
1/3/22 5:00,35.1,18300,37400,851,
1/3/22 6:00,44.3,19400,41000,897,
1/3/22 7:00,51.8,20600,44400,1050,
1/3/22 8:00,49.5,22300,45700,1070,
1/3/22 9:00,48,23100,47000,1070,
1/3/22 10:00,47.3,23100,46800,1070,
1/3/22 11:00,47.4,24600,46300,1110,
1/3/22 12:00,42.8,25200,45300,1260,
1/3/22 13:00,40.6,24700,45700,1280,
1/3/22 14:00,37,23300,45400,1250,
1/3/22 15:00,36.2,22500,44600,1030,
1/3/22 16:00,44,22200,44800,1000,
1/3/22 17:00,59.9,22500,48500,1030,
1/3/22 18:00,49.7,23200,48800,947,
1/3/22 19:00,45.7,23800,48100,952,
1/3/22 20:00,39.6,24100,46900,1000,
1/3/22 21:00,38.1,24400,45500,1060,
1/3/22 22:00,33.8,23300,42100,1270,
1/3/22 23:00,28,21400,41100,1320,
1/4/22 0:00,35.6,21100,39600,220,
1/4/22 1:00,34.6,21100,39600,223,
1/4/22 2:00,33.9,20800,39800,225,
1/4/22 3:00,31.5,21600,40500,226,
1/4/22 4:00,34.4,22600,40800,226,
1/4/22 5:00,33.2,22800,41900,225,
1/4/22 6:00,41.8,22600,45800,224,111000
1/4/22 7:00,64.2,23500,48100,223,115000
1/4/22 8:00,46.4,24800,48600,224,114000
1/4/22 9:00,36.9,24200,46600,226,111000
1/4/22 10:00,41.3,23900,43900,233,107000
1/4/22 11:00,38.9,23900,41400,225,103000
1/4/22 12:00,36.6,23400,39800,223,101000
1/4/22 13:00,36.4,23900,39000,222,98800
1/4/22 14:00,35.5,22900,37500,221,98300
1/4/22 15:00,34.1,22600,38000,217,98300
1/4/22 16:00,31.3,22900,39900,216,102000
1/4/22 17:00,38.7,24500,43100,218,108000
1/4/22 18:00,37.7,26000,44800,219,111000
1/4/22 19:00,37,26400,44300,221,111000
1/4/22 20:00,34.2,26300,42600,220,109000
1/4/22 21:00,32.8,25100,42200,264,106000
1/4/22 22:00,30.1,24200,39200,296,101000
1/4/22 23:00,28.7,22600,35100,385,95900
1/5/22 0:00,20.9,22000,33600,226,92500
1/5/22 1:00,16.4,21600,30900,231,90400
1/5/22 2:00,13.6,21200,31000,234,89800
1/5/22 3:00,10.3,21700,31600,228,90500
1/5/22 4:00,11.7,22300,31700,230,92200
1/5/22 5:00,12.3,22700,33500,230,96100
1/5/22 6:00,22.3,23500,35300,229,102000
1/5/22 7:00,25,24800,37300,226,106000
1/5/22 8:00,21.6,25100,39100,227,107000
1/5/22 9:00,21.5,26500,39300,278,106000
1/5/22 10:00,32.2,26700,39100,277,105000
1/5/22 11:00,30.7,25000,38100,259,103000
1/5/22 12:00,30.9,24900,37900,225,102000
1/5/22 13:00,30.9,25100,37900,222,102000
1/5/22 14:00,31.7,24300,36800,221,101000
1/5/22 15:00,31.3,23500,37200,215,101000
1/5/22 16:00,31,23100,37300,213,104000
1/5/22 17:00,39.3,23900,39800,237,108000
1/5/22 18:00,38.4,24700,41100,227,108000
